BLK,DWS,DBPM,DRtg,DRB,DFG_PCT,charges,Deflections,def_LB,Height,Weight,Position,vote_getter,Share,MP,w_L_pct,Player,Season,DFGA,DPOY,STL
74,1.3,-0.7,118,367,53.5,1,49,10,84,245,C,No,0,1759,0.256,nick richards,2023-24,880,0,27
7,0.6,-2.2,121,120,53.5,0,40,15,76,180,F,No,0,1594,0.268,malaki branham,2023-24,452,0,30
58,3.1,2.6,112,459,43.2,13,201,17,78,230,F,Yes,0.068,2297,0.537,draymond green,2022-23,1109,0,73
77,3.3,1.9,102,490,45.7,2,30,21,84,250,C,No,0,1812,0.573,pau gasol,2017-18,979,0,23
130,3.2,1.2,106,322,43.4,1,145,23,84,240,C,No,0,1848,0.451,mitchell robinson,2021-22,839,0,58
47,2.9,0.7,113,237,46,9,241,30,79,232,F,Yes,0.016,2386,0.5,og anunoby,2022-23,768,0,127
72,3.1,1.3,112,241,44.4,13,130,20,76,190,G,No,0,2319,0.695,derrick white,2022-23,1017,0,56
69,3.1,1.5,102,394,48.1,0,53,0,84,250,C,No,0,1627,0.744,pau gasol,2016-17,722,0,25
75,3.1,2,102,340,46.5,0,144,0,85,265,C,Yes,0.006,1970,0.61,marc gasol,2013-14,669,0,58
40,2.7,1.7,112,172,46.2,19,222,27,79,206,F,No,0,1951,0.512,herbert jones,2022-23,775,0,106
27,2.8,0.1,112,262,45.5,1,167,25,77,205,G,Yes,0.016,2183,0.707,jrue holiday,2022-23,930,0,80
8,1.2,0.1,117,189,45.2,9,168,36,73,190,G,No,0,1526,0.427,tj mcconnell,2022-23,496,0,82
117,3.7,1.5,107,427,45.6,0,107,31,83,215,C,No,0,2331,0.537,evan mobley,2021-22,1200,0,55
76,2.9,0.8,107,427,46.8,1,52,13,84,240,C,No,0,1852,0.512,ivica zubac,2021-22,1216,0,38
64,2.1,0.4,110,330,44.6,0,34,13,84,240,C,No,0,1609,0.653,ivica zubac,2020-21,1029,0,21
106,2.6,1.4,110,288,45.3,0,106,13,84,240,C,No,0,1591,0.573,mitchell robinson,2022-23,686,0,53
102,2.6,0.6,108,514,44,10,126,29,85,255,C,No,0,2408,0.268,marc gasol,2017-18,1108,0,51
65,2.3,0.9,105,346,42.8,1,29,10,84,240,C,No,0,1326,0.681,ivica zubac,2019-20,918,0,14
156,2.2,2.4,106,246,42.2,3,90,26,85,240,C,No,0,1360,0.207,mitchell robinson,2018-19,760,0,52
122,2,1.4,107,242,44.6,2,101,22,84,240,C,No,0,1412,0.318,mitchell robinson,2019-20,782,0,55
36,2.6,-0.1,113,334,44.8,5,130,23,75,200,G,No,0,2126,0.537,russell westbrook,2022-23,716,0,73
16,2.3,0.4,115,279,44.1,1,127,30,74,190,G,No,0,2344,0.573,immanuel quickley,2022-23,962,0,81
90,1.7,0.2,108,456,49.1,11,60,0,84,250,C,No,0,1884,0.329,pau gasol,2013-14,879,0,30
19,2.9,2,112,234,47.6,5,204,19,79,230,F,Yes,0.002,2138,0.537,jimmy butler,2022-23,694,0,115
81,3.2,0.5,110,533,47.4,0,136,28,83,248,C,No,0,2476,0.561,karlanthony towns,2021-22,1103,0,74
32,1.7,0.5,113,142,46,5,133,16,76,213,G,No,0,1350,0.549,josh okogie,2022-23,528,0,52
32,1.9,-1.5,117,408,44.3,5,66,19,81,221,F,No,0,2239,0.427,kyle kuzma,2022-23,783,0,38
123,3.2,0.6,108,691,47.7,3,121,56,84,248,C,No,0,2545,0.439,karlanthony towns,2018-19,1350,0,69
115,3.4,0.2,107,774,47.8,17,118,64,84,248,C,No,0,2918,0.573,karlanthony towns,2017-18,1473,0,66
61,2,-0.8,112,264,46.2,10,74,14,81,200,F,No,0,1523,0.5,chris boucher,2022-23,578,0,46
195,3.9,1.3,109,363,46,0,77,13,85,282,C,Yes,0.618,2373,0.707,brook lopez,2022-23,1760,0,39
107,2.8,-0.7,110,711,47.8,0,94,0,84,244,C,No,0,3030,0.378,karlanthony towns,2016-17,1226,0,57
22,2.1,-1,116,216,45.4,6,116,35,76,220,G,No,0,2272,0.488,luguentz dort,2022-23,916,0,74
12,1.8,0.3,113,233,41.2,1,53,10,77,209,G,No,0,1443,0.707,pat connaughton,2022-23,551,0,37
139,2.8,-0.4,106,629,47.6,0,131,0,84,244,C,No,0,2627,0.354,karlanthony towns,2015-16,1099,0,57
80,3.7,2.4,112,645,46.2,1,159,25,83,243,F,Yes,0.006,2567,0.598,giannis antetokounmpo,2023-24,911,0,88
70,5.1,4.2,108,753,51.1,4,237,24,83,284,C,No,0,2737,0.695,nikola jokic,2023-24,1559,0,109
19,1.4,0.1,117,160,45.5,19,67,14,77,197,G,No,0,1843,0.524,austin reaves,2022-23,869,0,32
24,2.2,0.6,115,175,45.3,1,110,27,77,200,G,No,0,2098,0.488,ayo dosunmu,2022-23,781,0,64
48,2.6,0.6,114,265,44.9,0,165,21,76,202,G,No,0,2280,0.646,bruce brown,2022-23,960,0,88
15,2.4,-0.5,114,199,44.3,1,152,20,78,225,G,No,0,2214,0.622,dillon brooks,2022-23,930,0,66
32,2.3,1.2,113,167,44.6,0,127,20,73,200,G,No,0,1810,0.707,jevon carter,2022-23,585,0,65
50,3.7,2.7,108,605,42,3,95,23,84,243,F,Yes,0.028,2024,0.707,giannis antetokounmpo,2022-23,789,0,50
219,4.4,0.6,102,485,44.4,0,107,0,82,245,F,Yes,0.126,2666,0.72,serge ibaka,2013-14,1270,0,40
54,1.9,0.8,110,260,47.9,5,89,11,81,264,C,No,0,1251,0.512,naz reid,2022-23,699,0,41
18,1.6,0.2,111,159,42.2,0,54,12,78,230,F,No,0,1120,0.622,lamar stevens,2022-23,486,0,24
28,1.9,-0.7,116,180,46.2,2,156,16,76,193,G,No,0,2304,0.524,dangelo russell,2022-23,795,0,71
54,2.2,-0.3,115,282,46,1,79,23,80,235,F,No,0,2055,0.646,aaron gordon,2022-23,750,0,54
48,3.8,4.5,110,650,50.9,4,218,20,83,284,C,No,0,2323,0.646,nikola jokic,2022-23,1399,0,90
