#,Player,Height,Wingspan,Length
394,"Jalen Suggs
ORL | PG","6'3.5""","6'5.5""",2
395,"Jeremiah Robinson-Earl
NOP | PF","6'7.75""","6'9.75""",2
396,"Alex Caruso
CHI | PG","6'4""","6'6""",2
397,"Malachi Flynn
DET | PG","6'1""","6'3""",2
398,"Jose Alvarado
NOP | PG","5'11""","6'1""",2
399,"Drew Eubanks
PHX | C","6'9""","6'11""",2
400,"Keyonte George
UTA | SG","6'4""","6'6""",2
401,"Jaden McDaniels
MIN | SF","6'9""","6'11""",2
402,"Cole Swider
MIA | PF","6'9""","6'11""",2
403,"LaMelo Ball
CHA | PG","6'6""","6'8""",2
404,"Ziaire Williams
MEM | SF","6'8.25""","6'10.25""",2
405,"Danuel House Jr.
| SF","6'6""","6'8""",2
406,"Chris Duarte
SAC | SG","6'5""","6'7""",2
407,"Fred VanVleet
HOU | PG","6'0""","6'2""",2
